name,location,listed_in(type),online_order,votes,rate,approx_cost(for two people)
Urban Kitchen 1,TT Nagar,Casual Dining,Yes,184,3.5,450
Urban Hub 2,Arera Colony,Casual Dining,Yes,181,3.6,950
Green Hub 3,MP Nagar,Dining,No,222,4.1,300
Saffron Dine 4,Kolar Road,Cafe,Yes,232,3.5,400
Tandoor Dine 5,Bairagarh,Dining,Yes,102,4.0,850
Saffron Cafe 6,Bairagarh,Dining,Yes,401,3.9,650
Green Cafe 7,Arera Colony,Quick Bites,Yes,193,4.2,250
Saffron Corner 8,Indrapuri,Dining,No,266,3.4,650
Blue Cafe 9,Bairagarh,Cafe,Yes,185,3.6,400
Green Dine 10,Arera Colony,Buffet,No,58,4.2,1000
Urban House 11,Bairagarh,Buffet,No,130,3.5,1100
Fusion Bistro 12,Kolar Road,Desserts,Yes,230,3.9,300
Saffron Hub 13,Kolar Road,Casual Dining,Yes,140,3.9,450
Urban Bistro 14,TT Nagar,Dining,Yes,428,3.7,350
Saffron Treats 15,Bairagarh,Desserts,Yes,181,4.2,150
Urban Corner 16,TT Nagar,Casual Dining,Yes,220,3.8,800
Blue Bistro 17,Bairagarh,Dining,No,400,3.5,800
Green Bistro 18,Kolar Road,Quick Bites,No,45,3.8,350
Urban Dine 19,Kolar Road,Dining,Yes,203,4.2,400
Fusion Cafe 20,Bairagarh,Dining,No,145,3.9,850
Blue Hub 21,MP Nagar,Cafe,No,162,4.2,400
Tandoor Treats 22,Bairagarh,Casual Dining,No,196,3.5,700
Green House 23,Arera Colony,Dining,Yes,403,3.3,350
Tandoor Cafe 24,Bairagarh,Dining,Yes,422,3.7,850
Fusion House 25,Indrapuri,Cafe,No,157,3.5,550
Tandoor Hub 26,Indrapuri,Desserts,Yes,226,3.4,500
Urban Kitchen 27,Indrapuri,Casual Dining,No,125,3.6,550
Fusion Bistro 28,Indrapuri,Quick Bites,Yes,281,3.4,150
Urban Kitchen 29,TT Nagar,Desserts,No,43,4.4,250
Saffron Treats 30,Indrapuri,Cafe,Yes,265,4.4,300
Spice Hub 31,Kolar Road,Desserts,No,240,3.8,350
Fusion Bistro 32,MP Nagar,Casual Dining,Yes,99,3.9,900
Tandoor Kitchen 33,Arera Colony,Dining,No,337,4.2,850
Spice Cafe 34,MP Nagar,Cafe,Yes,94,4.1,300
Urban House 35,Bairagarh,Desserts,Yes,198,3.4,500
Tandoor Corner 36,MP Nagar,Quick Bites,Yes,205,3.4,300
Blue Treats 37,Kolar Road,Cafe,No,97,3.4,500
Urban Cafe 38,Bairagarh,Quick Bites,Yes,180,3.2,300
Green Dine 39,Kolar Road,Dining,Yes,358,4.0,850
Blue Cafe 40,MP Nagar,Dining,Yes,134,4.0,450
Blue House 41,TT Nagar,Buffet,No,225,4.0,850
Fusion Corner 42,Arera Colony,Quick Bites,Yes,261,4.0,150
Tandoor Bistro 43,TT Nagar,Dining,No,162,4.0,850
Saffron Kitchen 44,Arera Colony,Casual Dining,Yes,146,3.9,750
Royal Hub 45,MP Nagar,Quick Bites,Yes,231,4.1,150
Green House 46,TT Nagar,Buffet,Yes,249,3.9,1000
Royal House 47,MP Nagar,Quick Bites,No,135,4.1,150
Tandoor Hub 48,TT Nagar,Cafe,No,187,3.7,550
Saffron Kitchen 49,Indrapuri,Dining,Yes,315,3.6,550
Spice House 50,Indrapuri,Cafe,Yes,95,4.5,350
Saffron Dine 51,Arera Colony,Buffet,Yes,116,3.5,850
Urban Hub 52,Kolar Road,Dining,No,240,3.7,800
Saffron House 53,Kolar Road,Dining,Yes,303,3.2,850
Green Dine 54,Indrapuri,Casual Dining,Yes,239,4.0,500
Blue Corner 55,TT Nagar,Casual Dining,Yes,276,4.1,900
Green Hub 56,TT Nagar,Cafe,No,149,4.1,350
Spice Corner 57,Kolar Road,Desserts,Yes,241,3.9,500
Fusion Treats 58,Indrapuri,Buffet,No,180,3.8,1350
Urban Corner 59,Bairagarh,Cafe,Yes,231,3.5,600
Blue House 60,MP Nagar,Cafe,Yes,83,3.7,450
Urban Treats 61,Indrapuri,Quick Bites,No,144,3.9,300
Saffron House 62,MP Nagar,Desserts,No,41,4.3,200
Green Bistro 63,TT Nagar,Desserts,Yes,52,3.9,200
Royal Treats 64,TT Nagar,Desserts,Yes,183,4.0,400
Saffron Treats 65,MP Nagar,Quick Bites,No,288,3.6,250
Blue Treats 66,TT Nagar,Casual Dining,Yes,295,3.4,650
Blue Dine 67,Kolar Road,Cafe,No,101,3.6,300
Royal House 68,Arera Colony,Desserts,Yes,124,3.9,350
Green Hub 69,Indrapuri,Dining,No,379,4.2,300
Saffron Treats 70,Arera Colony,Quick Bites,No,197,3.9,350
Green Treats 71,MP Nagar,Quick Bites,Yes,293,3.1,300
Saffron Bistro 72,Indrapuri,Casual Dining,No,343,3.3,750
Spice Cafe 73,TT Nagar,Quick Bites,Yes,281,3.3,250
Tandoor House 74,Indrapuri,Desserts,Yes,234,4.3,300
Blue Cafe 75,Indrapuri,Desserts,Yes,178,3.4,350
Urban Kitchen 76,Arera Colony,Cafe,No,162,4.3,500
Green Bistro 77,Indrapuri,Cafe,Yes,171,3.9,350
Royal Cafe 78,MP Nagar,Buffet,No,77,3.9,900
Saffron Hub 79,TT Nagar,Quick Bites,Yes,169,3.2,250
Urban Kitchen 80,Kolar Road,Casual Dining,No,259,3.4,700
Saffron Treats 81,Arera Colony,Dining,No,265,3.9,750
Royal Hub 82,MP Nagar,Casual Dining,No,208,4.0,900
Fusion Hub 83,TT Nagar,Desserts,Yes,122,4.2,200
Fusion House 84,Indrapuri,Buffet,No,221,3.7,650
Tandoor Bistro 85,Indrapuri,Desserts,Yes,244,3.6,300
Blue Kitchen 86,Bairagarh,Quick Bites,No,88,3.4,350
Green Treats 87,TT Nagar,Desserts,No,154,4.2,200
Green Hub 88,TT Nagar,Buffet,No,219,3.9,1100
Tandoor Hub 89,TT Nagar,Quick Bites,Yes,225,3.9,250
Blue House 90,Arera Colony,Buffet,No,130,3.4,1150
Royal House 91,MP Nagar,Casual Dining,No,211,4.1,900
Blue Cafe 92,MP Nagar,Quick Bites,Yes,229,3.3,150
Royal Corner 93,Arera Colony,Casual Dining,No,353,3.6,500
Fusion Cafe 94,Arera Colony,Casual Dining,No,310,3.8,700
Spice Corner 95,Indrapuri,Cafe,Yes,93,3.8,250
Spice Bistro 96,MP Nagar,Quick Bites,No,200,3.2,250
Saffron House 97,Bairagarh,Dining,No,306,3.5,750
Spice Cafe 98,MP Nagar,Buffet,No,117,4.0,750
Royal Cafe 99,MP Nagar,Cafe,Yes,290,4.2,450
Spice House 100,Kolar Road,Buffet,No,229,4.2,650
Green Corner 101,TT Nagar,Casual Dining,No,171,3.8,900
Royal Corner 102,MP Nagar,Cafe,Yes,144,4.3,500
Blue Treats 103,Arera Colony,Casual Dining,No,225,4.1,650
Fusion Treats 104,Arera Colony,Quick Bites,Yes,266,3.9,450
Spice Cafe 105,MP Nagar,Buffet,No,264,4.2,1200
Blue Kitchen 106,MP Nagar,Dining,No,413,3.7,600
Saffron Treats 107,Arera Colony,Cafe,Yes,269,3.8,550
Royal Dine 108,Indrapuri,Dining,No,227,3.9,700
Spice Treats 109,Arera Colony,Quick Bites,Yes,210,3.2,350
Spice Treats 110,Indrapuri,Quick Bites,Yes,230,3.8,400
Fusion Kitchen 111,MP Nagar,Casual Dining,Yes,137,4.3,800
Fusion Cafe 112,Arera Colony,Casual Dining,No,192,4.1,650
Spice Hub 113,Arera Colony,Quick Bites,Yes,103,3.6,200
Royal Treats 114,TT Nagar,Casual Dining,Yes,209,3.8,850
Green Treats 115,Bairagarh,Desserts,Yes,88,4.3,400
Royal Cafe 116,Kolar Road,Casual Dining,No,282,3.7,850
Spice Corner 117,TT Nagar,Buffet,No,200,3.9,1300
Royal Treats 118,Bairagarh,Desserts,Yes,125,3.9,450
Fusion Dine 119,MP Nagar,Desserts,No,101,3.9,250
Spice Dine 120,TT Nagar,Desserts,Yes,247,3.7,500
Royal Treats 121,Arera Colony,Casual Dining,Yes,372,3.7,450
Urban Treats 122,Arera Colony,Desserts,No,144,4.3,250
Fusion Corner 123,Kolar Road,Dining,No,283,3.9,650
Saffron Dine 124,TT Nagar,Casual Dining,No,319,4.3,400
Urban House 125,TT Nagar,Quick Bites,Yes,192,4.2,150
Urban Cafe 126,Indrapuri,Desserts,Yes,116,4.3,150
Spice Corner 127,Kolar Road,Buffet,No,87,3.6,1000
Royal Bistro 128,MP Nagar,Quick Bites,Yes,240,3.8,250
Royal House 129,Indrapuri,Desserts,Yes,157,3.6,150
Blue Bistro 130,Arera Colony,Desserts,Yes,128,4.4,300
Saffron Corner 131,Indrapuri,Casual Dining,No,171,4.4,850
Green Hub 132,Bairagarh,Dining,No,231,4.3,600
Saffron Corner 133,Arera Colony,Dining,No,431,4.1,350
Fusion Corner 134,MP Nagar,Quick Bites,Yes,225,3.3,200
Blue Bistro 135,TT Nagar,Quick Bites,Yes,65,3.4,350
Tandoor Bistro 136,Arera Colony,Dining,No,247,4.0,500
Royal Dine 137,Bairagarh,Cafe,Yes,199,4.3,350
Blue Dine 138,Arera Colony,Desserts,Yes,59,3.5,250
Saffron Dine 139,Arera Colony,Casual Dining,No,77,3.6,500
Tandoor Corner 140,Bairagarh,Desserts,Yes,203,4.3,200
Green Treats 141,Arera Colony,Casual Dining,No,357,3.7,950
Urban Treats 142,TT Nagar,Cafe,Yes,269,3.5,200
Blue Treats 143,Arera Colony,Dining,Yes,355,3.3,750
Saffron Bistro 144,Indrapuri,Buffet,No,263,3.8,1000
Spice Dine 145,MP Nagar,Buffet,No,110,4.2,700
Tandoor Dine 146,Arera Colony,Casual Dining,Yes,167,4.4,800
Green Kitchen 147,Arera Colony,Dining,No,204,4.3,900
Urban House 148,Bairagarh,Cafe,Yes,179,3.8,300
Spice Corner 149,MP Nagar,Quick Bites,No,173,4.0,200
Spice Bistro 150,Arera Colony,Casual Dining,Yes,191,3.9,350
